ASIN,SKU集合,上周,上上周,上周单量,上上周单量,单量环比%,上周销售额,上上周销售额,销售额环比%,上周广告花费,上上周广告花费,上周TACOS%,上上周TACOS%,TACOS环比%,预警标记,需补充广告指标
B0CGMF52M4,KC4PSP17300,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CGMFTFJ5,KC4PSP16000,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CHRY9LFW,KC4SGE00400,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CM5J3D3R,KC4PSP18100,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CM5KXCBC,KC4PSP17000,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CM5M5Y9P,KC4PSP17100,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,5.44,14.21,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CM6LF2PG,KC4PSP17400,2026-W35,2026-W34,0.0,1.0,-100.0,0.0,1143.01,-100.0,0.0,8.7,,0.76,,单量下滑≥20%；销售额下滑≥20%,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CM6MYFV2,KC4PSP17700,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CM8VCS3W,KC4PSP18200,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CM97Y53C,KC4PSP17100,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CM987JTK,KC4PSP17200,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CM98RGTF,KC4PSP16100,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CM98WTYV,KC4PSP16000,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CM99BGZD,KC4PSP18200,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CM9B1YL9,KC4SGE00300,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CM9B9ZBS,KC4SGE01700,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CM9BBVKZ,KC4PSP17300,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CM9BQJX2,KC4SGE01200,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN127282,KC4PSP18200,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN12FKX6,KC4PSP16700,2026-W35,2026-W34,0.0,1.0,-100.0,0.0,930.17,-100.0,0.0,0.0,,0.0,,单量下滑≥20%；销售额下滑≥20%,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN138TN6,KC4PSP17500,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN13GFRJ,KC4PSP16200,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN142XPS,KC4PSP16000,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN1487MF,KC4PSP16300,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN14KWCH,KC4PSP18000,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN14M1B4,KC4PSP16800,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,12.51,2.59,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN15GSSJ,KC4PSP16700,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN15P14D,KC4PSP16000,2026-W35,2026-W34,4.0,2.0,100.0,4051.98,2025.99,100.0,65.25,385.39,1.61,19.02,-91.53,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN15ZVKL,KC4PSP16200,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN16BJH1,KC4PSP16500,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN16BX1P,KC4PSP17300,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,28.97,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN16M9RX,KC4PSP17600,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN16WLHC,KC4PSP18100,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,2.25,2.24,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN179KRG,KC4PSP16000,2026-W35,2026-W34,0.0,1.0,-100.0,0.0,1053.93,-100.0,0.0,0.0,,0.0,,单量下滑≥20%；销售额下滑≥20%,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN17GBN5,KC4PSP16100,2026-W35,2026-W34,3.0,0.0,N/A,2590.6,0.0,N/A,170.66,125.91,6.59,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN17T7DS,KC4PSP18000,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN1868JM,KC4PSP17900,2026-W35,2026-W34,1.0,1.0,0.0,952.0,952.0,0.0,0.0,1.02,0.0,0.11,-99.84,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
