年月,ASIN,SKU,售价,出库销量,出库销售额,采购成本,头程,佣金,税费,仓储费,Coupon预留(5%),尾程费(参考未计主线),广告花费,平衡ACOS%,目标ACOS%,当前ACOS%,含尾程保守平衡ACOS%,状态
2026-08,B0H6WLBQ9P,PT4SGE19200,686.73,2.0,1373.46,488.43,39.66,289.8,70.97,55.61,68.67,0.0,9.72,26.23,21.23,0.71,26.23,可增投
2026-08,B0GR39T55F,KX4SGE17300,1366.8,1.0,1366.8,614.27,29.55,288.39,83.85,34.07,68.34,0.0,35.77,18.17,13.17,2.62,18.17,可增投
2026-08,B0GR42M1FL,KC4PSP18000,1366.8,1.0,1366.8,550.71,32.75,288.39,77.29,24.28,68.34,0.0,5.98,23.78,18.78,0.44,23.78,可增投
2026-08,B0H6WKXNV3,PT4SGE24900,1366.8,1.0,1366.8,748.75,22.14,288.39,97.72,48.06,68.34,0.0,6.53,6.83,1.83,0.48,6.83,可增投
2026-08,B0DL55X91S,KC4PSP17800,1360.0,1.0,1360.0,580.41,32.93,286.96,80.26,41.99,68.0,0.0,63.79,19.81,14.81,4.69,19.81,可增投
2026-08,B0GQZLS7PZ,KC4SGE04600,1360.0,1.0,1360.0,580.5,28.0,286.96,80.26,31.6,68.0,0.0,80.86,20.93,15.93,5.95,20.93,可增投
2026-08,B0GR3FTPG4,KX4SGE14900,1360.0,1.0,1360.0,536.28,23.63,286.96,75.7,37.95,68.0,0.0,22.44,24.37,19.37,1.65,24.37,可增投
2026-08,B0GR42MZ7S,PT4SGE19800,680.0,2.0,1360.0,478.53,38.06,286.96,69.75,64.35,68.0,0.0,37.47,26.05,21.05,2.76,26.05,可增投
2026-08,B0GR45X65X,KX4SGE14900,1360.0,1.0,1360.0,536.28,23.63,286.96,75.7,37.95,68.0,0.0,17.21,24.37,19.37,1.27,24.37,可增投
2026-08,B0GR4HWSV9,KX4SGE14900,1360.0,1.0,1360.0,536.28,23.63,286.96,75.7,37.95,68.0,0.0,7.14,24.37,19.37,0.53,24.37,可增投
2026-08,B0F6LRJSGY,KC4PSP18200,1354.02,1.0,1354.02,454.03,73.3,285.7,67.13,49.31,67.7,0.0,62.5,26.35,21.35,4.62,26.35,可增投
2026-08,B0DWMT7C59,PT4SGE24400,1353.2,1.0,1353.2,559.87,26.59,285.53,78.03,32.82,67.66,0.0,61.07,22.37,17.37,4.51,22.37,可增投
2026-08,B0DWMWQTGG,PT4SGE23200,1353.2,1.0,1353.2,411.5,23.8,285.53,62.73,32.08,67.66,0.0,88.07,34.73,29.73,6.51,34.73,可增投
2026-08,B0FLY5Q2JY,KC4SGE05400,1353.2,1.0,1353.2,609.13,24.26,285.53,83.11,38.26,67.66,0.0,15.85,18.12,13.12,1.17,18.12,可增投
2026-08,B0HF76HHS2,KX4SGE12400,1353.2,1.0,1353.2,634.53,29.9,285.53,85.73,43.65,67.66,0.0,4.76,15.24,10.24,0.35,15.24,可增投
2026-08,B0H6WNJXT3,PT4SGE23200,1353.13,1.0,1353.13,411.5,23.8,285.51,62.73,32.08,67.66,0.0,12.79,34.72,29.72,0.94,34.72,可增投
2026-08,B0GSD39Q7L,OO4SGE35600,1346.4,1.0,1346.4,537.52,37.47,284.09,75.63,27.24,67.32,0.0,108.2,23.55,18.55,8.04,23.55,可增投
2026-08,B0HF7119G6,OO4SGE34300,1346.4,1.0,1346.4,611.09,69.13,284.09,83.21,36.4,67.32,0.0,0.0,14.49,9.49,0.0,14.49,可增投
2026-08,B0H6XGB3TG,KC4PSP18000,1346.33,1.0,1346.33,550.71,32.75,284.08,76.99,24.28,67.32,0.0,36.72,23.04,18.04,2.73,23.04,可增投
2026-08,B0GR4L77BC,KX4SGE12100,1339.6,1.0,1339.6,505.13,20.45,282.66,72.19,31.58,66.98,0.0,35.36,26.92,21.92,2.64,26.92,可增投
2026-08,B0DR16MVLD,KX4SGE12100,1339.53,1.0,1339.53,505.13,20.45,282.64,72.18,31.58,66.98,0.0,0.0,26.92,21.92,0.0,26.92,可增投
2026-08,B0DPZK76DX,KC4SGE04800,1326.0,1.0,1326.0,655.32,21.5,279.79,87.47,34.55,66.3,0.0,35.7,13.66,8.66,2.69,13.66,可增投
2026-08,B0GTSC9PSP,OO4SGE35700,1326.0,1.0,1326.0,596.26,24.91,279.79,81.38,33.74,66.3,0.0,19.38,18.37,13.37,1.46,18.37,可增投
2026-08,B0HF847D44,OO4SGE37700,1326.0,1.0,1326.0,489.2,26.46,279.79,70.34,41.24,66.3,0.0,0.0,26.6,21.6,0.0,26.6,可增投
2026-08,B0D6LMS4WJ,KC4SGE05300,659.53,2.0,1319.06,595.1,41.9,278.32,81.16,73.59,65.95,0.0,0.0,13.88,8.88,0.0,13.88,可增投
2026-08,B0DPCXMDMM,KC4SGE04600,1311.31,1.0,1311.31,580.5,28.0,276.69,79.53,31.6,65.57,0.0,86.64,19.02,14.02,6.61,19.02,可增投
2026-08,B0DR1648XY,KX4SGE11100,1308.93,1.0,1308.93,618.53,25.48,276.18,83.42,44.26,65.45,0.0,21.63,14.94,9.94,1.65,14.94,可增投
2026-08,B0F9P2JFN9,KC4PSP16400,1305.6,1.0,1305.6,557.19,22.88,275.48,77.04,42.97,65.28,0.0,64.88,20.28,15.28,4.97,20.28,可增投
2026-08,B0FLY3X7MD,KX4SGE11100,1305.6,1.0,1305.6,618.53,25.48,275.48,83.37,44.26,65.28,0.0,0.0,14.8,9.8,0.0,14.8,可增投
2026-08,B0GR4MXRHY,KC4PSP16400,1305.6,1.0,1305.6,557.19,22.88,275.48,77.04,42.97,65.28,0.0,24.41,20.28,15.28,1.87,20.28,可增投
2026-08,B0GR4QK87D,KX4SGE11100,1305.6,1.0,1305.6,618.53,25.48,275.48,83.37,44.26,65.28,0.0,9.18,14.8,9.8,0.7,14.8,可增投
2026-08,B0H9PRYZY2,KC4SGE04600,1305.53,1.0,1305.53,580.5,28.0,275.47,79.45,31.6,65.28,0.0,0.0,18.79,13.79,0.0,18.79,可增投
2026-08,B0DSDPLJZ3,KC4PSP18000,1303.29,1.0,1303.29,550.71,32.75,274.99,76.34,24.28,65.16,0.0,38.15,21.41,16.41,2.93,21.41,可增投
2026-08,B0H6WGKPR5,OO4SGE35700,1298.73,1.0,1298.73,596.26,24.91,274.03,80.97,33.74,64.94,0.0,44.41,17.24,12.24,3.42,17.24,可增投
2026-08,B0DWMWW45F,KX4SGE12400,1292.0,1.0,1292.0,634.53,29.9,272.61,84.82,43.65,64.6,0.0,79.23,12.53,7.53,6.13,12.53,可增投
2026-08,B0GQZGPBM2,PT4SGE20800,646.0,2.0,1292.0,496.89,38.57,272.61,70.62,47.01,64.6,0.0,36.45,23.35,18.35,2.82,23.35,可增投
2026-08,B0F671Q8R8,KC4SGE01500,1285.2,1.0,1285.2,626.71,30.2,271.18,83.91,32.06,64.26,0.0,0.0,13.76,8.76,0.0,13.76,可增投
2026-08,B0GR4FRN1X,KC4SGE04800,1285.2,1.0,1285.2,655.32,21.5,271.18,86.86,34.55,64.26,0.0,22.44,11.79,6.79,1.75,11.79,可增投
2026-08,B0H6WG6FBJ,KC4SGE04800,1285.13,1.0,1285.13,655.32,21.5,271.16,86.86,34.55,64.26,0.0,53.66,11.79,6.79,4.18,11.79,可增投
2026-08,B0HF7WN6JZ,KC4SGE04300,1278.4,1.0,1278.4,406.54,20.8,269.74,61.1,35.78,63.92,0.0,0.0,32.89,27.89,0.0,32.89,可增投
2026-08,B0H6WKNBLS,KX4SGE12400,1257.93,1.0,1257.93,634.53,29.9,265.42,84.3,43.65,62.9,0.0,25.43,10.91,5.91,2.02,10.91,可增投
2026-08,B0H6WM1NCV,OO4SGE35600,1251.13,1.0,1251.13,537.52,37.47,263.99,74.2,27.24,62.56,0.0,13.81,19.83,14.83,1.1,19.83,可增投
2026-08,B0H9LRP211,KC4PSP18100,1246.3,1.0,1246.3,639.91,33.31,262.97,84.69,76.2,62.32,0.0,0.0,6.97,1.97,0.0,6.97,可增投
2026-08,B0H2Z4F2C7,KC4PSP16300,1237.6,1.0,1237.6,606.26,38.53,261.13,81.09,47.23,61.88,0.0,9.79,11.43,6.43,0.79,11.43,可增投
2026-08,B0H6WFSBT4,PT4SGE23600,1237.53,1.0,1237.53,496.48,28.78,261.12,69.76,30.68,61.88,0.0,44.34,23.34,18.34,3.58,23.34,可增投
