ASIN,掉量起点,前14天日均销量,判定状态,规则
B0DPCX66CY,2026-08-22,0.36,已识别,连续3天低于前14天日均销量的50%
B0DPCX7QHQ,2026-08-21,0.14,已识别,连续3天低于前14天日均销量的50%
B0DPCXHB93,2026-08-23,0.21,已识别,连续3天低于前14天日均销量的50%
B0DPCXPSCH,2026-08-21,0.07,已识别,连续3天低于前14天日均销量的50%
B0DPCXXGCQ,2026-08-21,0.07,已识别,连续3天低于前14天日均销量的50%
B0DPCXYMH5,,,未识别,连续3天低于前14天日均销量的50%
B0DPMWTLZB,2026-08-22,0.43,已识别,连续3天低于前14天日均销量的50%
B0DPQG957S,2026-08-24,0.71,已识别,连续3天低于前14天日均销量的50%
B0DPWVY87S,2026-08-23,0.07,已识别,连续3天低于前14天日均销量的50%
B0DPWYBZ41,2026-08-21,0.07,已识别,连续3天低于前14天日均销量的50%
B0DPZK76DX,2026-08-21,0.07,已识别,连续3天低于前14天日均销量的50%
B0DPZN1RR3,2026-08-23,0.14,已识别,连续3天低于前14天日均销量的50%
B0DQ1593RH,2026-08-21,0.14,已识别,连续3天低于前14天日均销量的50%
B0DQ3KXSFQ,2026-08-21,0.07,已识别,连续3天低于前14天日均销量的50%
B0DR144TNH,2026-08-25,0.21,已识别,连续3天低于前14天日均销量的50%
B0DR167V3Z,2026-08-22,0.21,已识别,连续3天低于前14天日均销量的50%
B0DSDNHMWF,2026-08-22,0.21,已识别,连续3天低于前14天日均销量的50%
B0DSDVMWFK,2026-08-22,0.21,已识别,连续3天低于前14天日均销量的50%
B0DSPSL9SX,2026-08-21,0.07,已识别,连续3天低于前14天日均销量的50%
B0DSZQ5BCN,2026-08-21,0.07,已识别,连续3天低于前14天日均销量的50%
B0DWJG1S64,2026-08-23,0.07,已识别,连续3天低于前14天日均销量的50%
B0DWJLP9LW,2026-08-25,0.43,已识别,连续3天低于前14天日均销量的50%
B0DWJZLMJ2,2026-08-24,1.0,已识别,连续3天低于前14天日均销量的50%
B0DWK1388B,2026-08-22,0.21,已识别,连续3天低于前14天日均销量的50%
B0DWMSG3ML,2026-08-25,0.29,已识别,连续3天低于前14天日均销量的50%
B0DWMSHL7S,2026-08-22,0.14,已识别,连续3天低于前14天日均销量的50%
B0DWMTBPZG,2026-08-21,0.14,已识别,连续3天低于前14天日均销量的50%
B0DWMTCC74,2026-08-23,0.21,已识别,连续3天低于前14天日均销量的50%
B0DWMTK9F5,2026-08-21,0.21,已识别,连续3天低于前14天日均销量的50%
B0DWMV3RPH,2026-08-24,0.5,已识别,连续3天低于前14天日均销量的50%
B0DWMV7693,2026-08-21,0.14,已识别,连续3天低于前14天日均销量的50%
B0DWMV85N5,2026-08-21,0.14,已识别,连续3天低于前14天日均销量的50%
B0DWMVQ3MR,2026-08-23,0.07,已识别,连续3天低于前14天日均销量的50%
B0DWMVRNCJ,2026-08-21,0.07,已识别,连续3天低于前14天日均销量的50%
B0DWMVST5H,2026-08-22,0.14,已识别,连续3天低于前14天日均销量的50%
B0DWMW85HW,2026-08-23,0.07,已识别,连续3天低于前14天日均销量的50%
B0DWMW8QBM,2026-08-23,0.21,已识别,连续3天低于前14天日均销量的50%
B0DWMWR57F,2026-08-22,0.14,已识别,连续3天低于前14天日均销量的50%
B0DWMWW45F,2026-08-21,0.07,已识别,连续3天低于前14天日均销量的50%
B0DWMXKTLC,2026-08-22,0.07,已识别,连续3天低于前14天日均销量的50%
B0F43KHJC2,2026-08-23,1.07,已识别,连续3天低于前14天日均销量的50%
B0F671HGDH,2026-08-22,0.07,已识别,连续3天低于前14天日均销量的50%
B0F671NLKP,2026-08-22,0.21,已识别,连续3天低于前14天日均销量的50%
B0F6LJ7BNY,2026-08-21,0.07,已识别,连续3天低于前14天日均销量的50%
B0F6LQ1KNV,2026-08-22,0.14,已识别,连续3天低于前14天日均销量的50%
B0F6LQG5DJ,2026-08-21,0.07,已识别,连续3天低于前14天日均销量的50%
B0F6LQYSQ6,2026-08-22,0.07,已识别,连续3天低于前14天日均销量的50%
B0F6LR3XNC,2026-08-21,0.07,已识别,连续3天低于前14天日均销量的50%
B0F6LVFPSB,2026-08-21,0.14,已识别,连续3天低于前14天日均销量的50%
B0F6Y8GRD1,2026-08-22,0.07,已识别,连续3天低于前14天日均销量的50%
B0F9P2QX6Z,2026-08-22,0.14,已识别,连续3天低于前14天日均销量的50%
B0F9P34GKZ,2026-08-23,0.14,已识别,连续3天低于前14天日均销量的50%
